Month,CountyFIPS,CountyName,Property Type,Nielsen Rank,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201904,34003,"Bergen, NJ",Single Family Home,55,,677000.000000,0.0288,-0.0043,3452.0,0.1325,0.1150,42.50,-0.1327,-0.0341,1708.0,0.2270,0.1356,30.0,0.8750,0.5000,758.0,0.3633,0.2979,0.0,,,1048248.0000,0.0045,-0.0115,3452.0,0.1325,0.1150,0.0000,0.0000,0.0000
201904,09001,"Fairfield, CT",Single Family Home,56,,875050.000000,-0.0046,-0.0541,6990.0,0.1302,0.0912,66.00,-0.0959,0.0820,2098.0,0.2341,0.1231,24.0,-0.2500,-0.2500,1334.0,0.3027,0.0723,29.0,0.3182,0.2609,1551475.0000,-0.0105,-0.0267,7019.0,0.1308,0.0918,0.0041,0.0006,0.0006
201904,17043,"DuPage, IL",Single Family Home,57,,457050.000000,0.0000,0.0158,4736.5,0.1452,0.0936,42.00,-0.0455,0.0000,2084.0,0.2770,0.2060,16.0,1.0000,-0.3333,1158.0,0.4695,0.3041,177.0,0.1569,0.0057,606561.0000,-0.0140,-0.0267,4913.5,0.1456,0.0902,0.0374,0.0004,-0.0033
201904,26099,"Macomb, MI",Single Family Home,58,*,268475.000000,0.0741,0.0133,1806.5,0.0558,0.2695,37.00,-0.2292,-0.0513,1176.0,0.1903,0.1264,40.0,-0.1667,-0.2857,580.0,0.3182,0.4500,701.0,0.1343,99.1429,307710.0000,0.0400,0.0096,2507.5,0.0766,0.7535,0.3880,0.0269,0.3831
201904,39061,"Hamilton, OH",Single Family Home,59,,275047.500000,0.0189,0.0581,1426.5,0.0397,-0.0004,39.00,-0.2353,-0.1333,876.0,0.2167,0.0788,20.0,0.2500,-0.1667,460.0,0.2105,0.0455,1567.0,0.1405,0.0357,395916.0000,0.0044,0.0275,2993.5,0.0901,0.0182,1.0985,0.0970,0.0382
201904,09009,"New Haven, CT",Single Family Home,60,,300875.000000,0.0232,0.0031,3457.5,0.1366,0.0914,57.50,-0.2123,0.0455,1130.0,0.1920,0.0620,20.0,0.0000,-0.3750,614.0,0.3584,0.1718,0.0,,,399029.0000,0.0030,-0.0336,3457.5,0.1366,0.0914,0.0000,0.0000,0.0000
201904,48085,"Collin, TX",Single Family Home,61,,406025.000000,-0.0088,-0.0332,4391.5,0.0641,0.1815,45.00,-0.1176,0.1842,1918.0,0.1309,-0.0486,344.0,0.7200,0.3438,1580.0,0.2229,0.2993,1403.0,0.2651,0.0718,477075.0000,-0.0018,-0.0389,5794.5,0.1067,0.1529,0.3195,0.0508,-0.0327
201904,41051,"Multnomah, OR",Single Family Home,62,,489050.000000,0.0082,-0.0018,1511.0,0.1579,0.2069,33.00,-0.1538,0.1000,1144.0,0.3302,0.0362,36.0,-0.1000,-0.3571,528.0,0.3069,0.2110,8.5,-0.0556,-0.3929,615585.0000,0.0014,0.0108,1519.5,0.1564,0.2002,0.0056,-0.0013,-0.0056
201904,15003,"Honolulu, HI",Single Family Home,63,,967771.750000,0.0117,-0.0536,1199.0,0.0354,0.2810,61.50,-0.0081,0.1604,492.0,0.2947,0.1495,12.0,2.0000,0.0000,300.0,0.1029,0.5306,0.0,,,1648111.0000,0.0228,-0.1003,1199.0,0.0354,0.2810,0.0000,0.0000,0.0000
201904,24005,"Baltimore, MD",Single Family Home,64,,339995.000000,0.0461,0.2141,1760.0,0.1511,-0.1749,44.00,-0.2072,0.0000,854.0,0.1541,-0.1757,44.0,-0.0833,-0.1538,618.0,0.5147,0.0582,0.0,,,456675.0000,0.0347,0.0998,1760.0,0.1511,-0.1749,0.0000,0.0000,0.0000
